Nama,Perusahaan,Lokasi,Pengalaman,Upah
CREDIT MARKETING OFFICER - YOGYAKARTA,PT. Arthaasia Finance,YOGYAKARTA - Prov. DI-Yogyakarta,2 tahun,IDR 2.500.000 - 4.500.000
Marketing ,karir.com,head office - Prov. DKI-Jakarta,Setidaknya 1 tahun,IDR 7.000.000 - 10.000.000
Credit Marketing Officer Motor - Batam,PT Mega Central Finance,Batam - Batam,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Wajo,PT Mega Central Finance,Wajo - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Wakatobi,PT Mega Central Finance,Wakatobi - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Sinjai,PT Mega Central Finance,Sinjai - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Muna,PT Mega Central Finance,Muna - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Luwu Utara,PT Mega Central Finance,Luwu Utara - ,Setidaknya 1 tahun,Gaji Kompetitif
CREDIT MARKETING OFFICER - PEKANBARU,PT. Arthaasia Finance,PEKANBARU - Pekanbaru,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Maros,PT Mega Central Finance,Maros - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Luwu Timur,PT Mega Central Finance,Luwu Timur - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Mamuju,PT Mega Central Finance,Mamuju - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Palu,PT Mega Central Finance,Palu - Palu,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Konawe,PT Mega Central Finance,Konawe - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Kolaka,PT Mega Central Finance,Kolaka - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Luwu,PT Mega Central Finance,Luwu - ,Setidaknya 1 tahun,Gaji Kompetitif
Marketing Staff,ASABA GROUP,Prov. DKI-Jakarta - Prov. DKI-Jakarta,3 tahun,Gaji Kompetitif
Marketing Executive,PT Best Mega Industri,Makasar - Makassar,3 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Konawe Utara,PT Mega Central Finance,Konawe Utara - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Parepare,PT Mega Central Finance,Parepare - ,Setidaknya 1 tahun,Gaji Kompetitif
MARKETING FUNDING,PT Intrias Mandiri Sejati (IMS),head office - Prov. DKI-Jakarta,Setidaknya 1 tahun,IDR 4.500.000 - 5.500.000
Credit Marketing Officer Motor - Palopo,PT Mega Central Finance,Palopo - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Kendari,PT Mega Central Finance,Kendari - Kendari,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Banda Aceh,PT Mega Central Finance,Banda Aceh - Banda Aceh,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Gowa,PT Mega Central Finance,Gowa - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Polewali Mandar,PT Mega Central Finance,Polewali Mandar - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Bulukumba,PT Mega Central Finance,Bulukumba - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Mobil - Bogor,PT Mega Central Finance,Bogor - Bogor,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Bau-Bau,PT Mega Central Finance,Bau-Bau - ,Setidaknya 1 tahun,Gaji Kompetitif
HEAD OF MARKETING INSURANCE,Power Vision,Power Vision - Jakarta Barat,2 tahun,IDR 8.000.000 - 10.000.000
Credit Marketing Officer Motor - Ogan Komering Ilir,PT Mega Central Finance,Ogan Komering Ilir - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Seluma,PT Mega Central Finance,Seluma - ,Setidaknya 1 tahun,Gaji Kompetitif
Freelance Digital Marketing ,Confidential Company,Head Office - Jakarta Selatan,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Ogan Ilir,PT Mega Central Finance,Ogan Ilir - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Lahat,PT Mega Central Finance,Lahat - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Banyuasin,PT Mega Central Finance,Banyuasin - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Mukomuko,PT Mega Central Finance,Mukomuko - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Bengkulu Selatan,PT Mega Central Finance,Bengkulu Selatan - Prov. Bengkulu,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Paser,PT Mega Central Finance,Paser - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Samarinda,PT Mega Central Finance,Samarinda - Samarinda,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Palembang,PT Mega Central Finance,Palembang - Palembang,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Bengkulu,PT Mega Central Finance,Bengkulu - Bengkulu,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Kutai Kartanegara,PT Mega Central Finance,Kutai Kartanegara - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Tabalong,PT Mega Central Finance,Tabalong - ,Setidaknya 1 tahun,Gaji Kompetitif
Marketing Representative,PT Hon Chuan Indonesia,Cikarang Plant - Cikarang,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Kotawaringin Timur,PT Mega Central Finance,Kotawaringin Timur - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Lhokseumawe,PT Mega Central Finance,Lhokseumawe - Lhokseumawe,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Tapin,PT Mega Central Finance,Tapin - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Penajam Paser Utara,PT Mega Central Finance,Penajam Paser Utara - ,Setidaknya 1 tahun,Gaji Kompetitif
DIGITAL MARKETING,PT Karya Laili Mendunia,head office - Surabaya,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Palangkaraya,PT Mega Central Finance,Palangkaraya - Palangkaraya,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Kutai Timur,PT Mega Central Finance,Kutai Timur - ,Setidaknya 1 tahun,Gaji Kompetitif
Marketing Manager,PT Boga Inti (Boga Group),Head Office - Tangerang,3 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Lamandau,PT Mega Central Finance,Lamandau - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Kapuas,PT Mega Central Finance,Kapuas - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Katingan,PT Mega Central Finance,Katingan - ,Setidaknya 1 tahun,Gaji Kompetitif
CREDIT MARKETING OFFICER - PALEMBANG,PT. Arthaasia Finance,PALEMBANG - Palembang,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Bengkulu Utara,PT Mega Central Finance,Bengkulu Utara - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Tanah Laut,PT Mega Central Finance,Tanah Laut - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Kotawaringin Barat,PT Mega Central Finance,Kotawaringin Barat - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Bontang,PT Mega Central Finance,Bontang - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Tanah Bumbu,PT Mega Central Finance,Tanah Bumbu - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Banjarmasin,PT Mega Central Finance,Banjarmasin - Banjarmasin,Setidaknya 1 tahun,Gaji Kompetitif
Corporate Marketing Communications,PT Mitra Utama Agathon,The Agathon Building - Tangerang,3 tahun,IDR 5.500.000 - 9.500.000
Credit Marketing Officer Motor - Banjarbaru,PT Mega Central Finance,Banjarbaru - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Demak,PT Mega Central Finance,Demak - Demak,Setidaknya 1 tahun,Gaji Kompetitif
Manager Marketing Khusus Pria,PT Adam Indonesia,head office - Jakarta Barat,2 tahun,Gaji Kompetitif
Staff Marketing Communication,PT Mitra Cipta Hardi Elektrindo,head office - Jakarta Pusat,2 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Balikpapan,PT Mega Central Finance,Balikpapan - Balikpapan,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Yogyakarta,PT Mega Central Finance,Yogyakarta - Yogyakarta,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Kebumen,PT Mega Central Finance,Kebumen - ,Setidaknya 1 tahun,Gaji Kompetitif
Marketing Relationship & Secretary,PT Asuransi Ramayana Tbk,PT Asuransi Ramayana Tbk - Prov. DKI-Jakarta,0 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Semarang,PT Mega Central Finance,Semarang - Semarang,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Banyumas,PT Mega Central Finance,Banyumas - Banyumas,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Brebes,PT Mega Central Finance,Brebes - Brebes,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Pemalang,PT Mega Central Finance,Pemalang - Pemalang,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Sleman,PT Mega Central Finance,Sleman - Sleman,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Purbalingga,PT Mega Central Finance,Purbalingga - Purbalingga,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Cilacap,PT Mega Central Finance,Cilacap - Cilacap,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Jepara,PT Mega Central Finance,Jepara - Jepara,Setidaknya 1 tahun,Gaji Kompetitif
MARKETING STAFF,PT Bondor Indonesia,Kawasan Industri Sentul - Bogor,3 tahun,IDR 5.000.000 - 6.000.000
Sales & Account Executive (Influencer Marketing),PT Tellscore International Indonesia,head office - Jakarta Selatan,3 tahun,IDR 8.000.000 - 13.000.000
Credit Marketing Officer Motor - Bima,PT Mega Central Finance,Bima - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Salatiga,PT Mega Central Finance,Salatiga - Salatiga,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Kendal,PT Mega Central Finance,Kendal - Kendal,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Kudus,PT Mega Central Finance,Kudus - Kudus,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Lebak,PT Mega Central Finance,Lebak - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Pandeglang,PT Mega Central Finance,Pandeglang - Pandeglang,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Cilegon,PT Mega Central Finance,Cilegon - Cilegon,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Tulungagung,PT Mega Central Finance,Tulungagung - Tulungagung,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Lombok Utara,PT Mega Central Finance,Lombok Utara - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Madiun,PT Mega Central Finance,Madiun - Madiun,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Lombok Timur,PT Mega Central Finance,Lombok Timur - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Pasuruan,PT Mega Central Finance,Pasuruan - Pasuruan,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Nganjuk,PT Mega Central Finance,Nganjuk - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Banyuwangi,PT Mega Central Finance,Banyuwangi - Banyuwangi,Setidaknya 1 tahun,Gaji Kompetitif
Marketing,PT Usaha Saudara Mandiri,Surabaya - Surabaya,Setidaknya 1 tahun,IDR 4.500.000 - 5.500.000
Credit Marketing Officer Motor - Serang,PT Mega Central Finance,Serang - Serang,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Mataram,PT Mega Central Finance,Mataram - Mataram,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Blitar,PT Mega Central Finance,Blitar - ,Setidaknya 1 tahun,Gaji Kompetitif
Telemarketing e-Commerce Otomotif - Jakarta,PT Elabram Systems,Prov. DKI-Jakarta - Prov. DKI-Jakarta,Setidaknya 1 tahun,IDR 4.500.000 - 4.600.000
CREDIT MARKETING OFFICER - SURABAYA,PT. Arthaasia Finance,SURABAYA - Surabaya,Setidaknya 1 tahun,IDR 4.300.000 - 4.900.000
Credit Marketing Officer Motor - Malang,PT Mega Central Finance,Malang - Malang,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Bojonegoro,PT Mega Central Finance,Bojonegoro - Bojonegoro,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Kediri,PT Mega Central Finance,Kediri - Kediri,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Lamongan,PT Mega Central Finance,Lamongan - Lamongan,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Ciamis,PT Mega Central Finance,Ciamis - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Majalengka,PT Mega Central Finance,Majalengka - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Tasikmalaya,PT Mega Central Finance,Tasikmalaya - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Indramayu,PT Mega Central Finance,Indramayu - ,0 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Kuningan,PT Mega Central Finance,Kuningan - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Banjar,PT Mega Central Finance,Banjar - Prov. Jawa Barat,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Mojokerto,PT Mega Central Finance,Mojokerto - Mojokerto,Setidaknya 1 tahun,Gaji Kompetitif
DIGITAL MARKETING & SOCIAL MEDIA  SUPERVISOR,PT Artha Kreasi Utama,Semarang - Semarang,2 tahun,Gaji Kompetitif
Marketing Executive Kampus,PT Bahtera Pesat Lintasbuana,head office - Jakarta Selatan,0 tahun,IDR 4.600.000 - 6.000.000
Credit Marketing Officer Motor - Garut,PT Mega Central Finance,Garut - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Sidoarjo,PT Mega Central Finance,Sidoarjo - Sidoarjo,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Cirebon,PT Mega Central Finance,Cirebon - Cirebon,Setidaknya 1 tahun,Gaji Kompetitif
CREDIT MARKETING OFFICER - BANDUNG,PT. Arthaasia Finance,BANDUNG - Bandung,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Surabaya,PT Mega Central Finance,Surabaya - Surabaya,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Purwakarta,PT Mega Central Finance,Purwakarta - Purwakarta,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Gresik,PT Mega Central Finance,Gresik - Gresik,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Bandung Barat,PT Mega Central Finance,Bandung Barat - ,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Subang,PT Mega Central Finance,Subang - Subang,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Cianjur,PT Mega Central Finance,Cianjur - Cianjur,Setidaknya 1 tahun,Gaji Kompetitif
Export Marketing Staff,PT Swabina Karya Indonesia,head office - Bekasi,Setidaknya 1 tahun,IDR 7.500.000 - 8.000.000
Credit Marketing Officer Motor - Sukabumi,PT Mega Central Finance,Sukabumi - Sukabumi,Setidaknya 1 tahun,Gaji Kompetitif
Business support /Marketing Funding,PT Fintegra Homido Indonesia,head office - Jakarta Selatan,3 tahun,IDR 7.000.000 - 9.000.000
Credit Marketing Officer Motor - Jakarta Selatan,PT Mega Central Finance,Jakarta Selatan - Jakarta Selatan,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Jakarta Timur,PT Mega Central Finance,Jakarta Timur - Jakarta Timur,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Jakarta Barat,PT Mega Central Finance,Jakarta Barat - Jakarta Barat,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Jakarta Pusat,PT Mega Central Finance,Jakarta Pusat - Jakarta Pusat,Setidaknya 1 tahun,Gaji Kompetitif
CREDIT MARKETING OFFICER - BOGOR,PT. Arthaasia Finance,BOGOR - Bogor,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Karawang,PT Mega Central Finance,Karawang - Karawang,Setidaknya 1 tahun,Gaji Kompetitif
Marketing and Communication (Food & Beverage Industry),PT Paris Tokyo Mademoiselle (Moonshine Dine & Lounge),Moonshine Dine & Lounge - Jakarta Selatan,0 tahun,IDR 6.000.000 - 6.500.000
CREDIT MARKETING OFFICER - JAKARTA PUSAT,PT. Arthaasia Finance,DKI JAKARTA (PUSAT) - Prov. DKI-Jakarta,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Bandung,PT Mega Central Finance,Bandung - Bandung,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Tangerang Selatan,PT Mega Central Finance,Tangerang Selatan - ,Setidaknya 1 tahun,Gaji Kompetitif
Digital Marketing Staff,PT KMI Wire and Cable Tbk,head office - Jakarta Timur,2 tahun,Gaji Kompetitif
Brand Marketing Manager,PT Dhanajaya Bogaindo,Head Office Patal Senayan - Jakarta Selatan,3 tahun,IDR 15.000.000 - 20.000.000
Credit Marketing Officer Motor - Depok,PT Mega Central Finance,Depok - Depok,Setidaknya 1 tahun,Gaji Kompetitif
Marketing,PT Pru Winner,head office - Jakarta Selatan,3 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Tangerang,PT Mega Central Finance,Tangerang - Tangerang,Setidaknya 1 tahun,Gaji Kompetitif
Manager Marketing,PT Favori Corp Sedaya,head office - Bandung,3 tahun,Gaji Kompetitif
CREDIT MARKETING OFFICER - BEKASI,PT. Arthaasia Finance,BEKASI - Bekasi,Setidaknya 1 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Bekasi,PT Mega Central Finance,Bekasi - Bekasi,Setidaknya 1 tahun,Gaji Kompetitif
Marketing Manager,PT Dian Permana,head office - Surabaya,5 tahun,Gaji Kompetitif
Digital Marketing,PT Telesindo Citra Sejahtera,head office - Jakarta Barat,2 tahun,Gaji Kompetitif
Credit Marketing Officer Motor - Bogor,PT Mega Central Finance,Bogor - Bogor,Setidaknya 1 tahun,Gaji Kompetitif
Marketing,PT Kualitas Teknik Indonesia,head office - Jakarta Barat,2 tahun,IDR 4.600.000 - 8.000.000
SALES MARKETING ENGINEER (INDUSTRIAL INSTRUMENTATION & PROCESS CONTROL),PT Flotech Controls Indonesia,Indonesia  - Jakarta Utara,Setidaknya 1 tahun,Gaji Kompetitif
Sales & Marketing Associate,MRT Group,Head Office - Jakarta Barat,3 tahun,Gaji Kompetitif
Digital Marketing,PT Domba Mas Indonesia,head office - Jakarta Barat,2 tahun,Gaji Kompetitif
CREDIT MARKETING OFFICER - JAKARTA,PT. Arthaasia Finance,DKI JAKARTA - Prov. DKI-Jakarta,Setidaknya 1 tahun,Gaji Kompetitif
Telemarketing,PT Domba Mas Indonesia,head office - Jakarta Barat,0 tahun,Gaji Kompetitif
Marketing,PT Prima Karya Sarana Sejahtera,PKSS Jakarta 1 - Prov. DKI-Jakarta,Setidaknya 1 tahun,Gaji Kompetitif
Staff Marketing,PT Sayaka Adhyatma Persada,head office - Surabaya,Setidaknya 1 tahun,Gaji Kompetitif
Telemarketing,PT Personel Alih Daya ( PERSADA ),head office - Jakarta Selatan,Setidaknya 1 tahun,IDR 4.500.000 - 5.000.000
Telemarketing/Telesales,PT Personel Alih Daya ( PERSADA ),head office - Jakarta Selatan,Setidaknya 1 tahun,IDR 4.600.000 - 5.000.000
Marketing Manager,PT Wahana Adireksa Pratama,head office - Jakarta Barat,3 tahun,IDR 8.000.000 - 10.000.000
MARKETING SUPERVISOR,PT Mitra Insan Sejahtera,Jakarta - Prov. DKI-Jakarta,2 tahun,Gaji Kompetitif
